Velocidad [RPM],Aceleracion [V_Acc], Voltaje[V],Corriente[A],Temperatura[°C],Latitud,Longitud,Velocidad[GPS: km/h],Satelites, Altitud, Hora, Minutos, Year
0.00,0.31,59.77661271,0.82700676,28.20759520,4.796379000000000,-75.687763000000005,0.00000000,5.00,1509.60000000,15,56,2000
0.00,0.31,59.76833892,0.82932386,28.20988275,4.796380667000001,-75.687764499999996,0.37040000,5.00,1509.30000000,15,56,2024
30.00,0.73,58.20442932,4.31897877,27.77713651,4.796378333000000,-75.687764499999996,0.74080000,5.00,1509.30000000,15,56,2024
90.00,0.83,57.79137858,5.25102650,27.72057202,4.796378333000000,-75.687777499999997,5.79676000,5.00,1509.30000000,15,56,2024
150.00,0.83,58.60850813,3.84242326,27.94251766,4.796373500000000,-75.687792333000007,6.68572000,5.00,1509.70000000,15,56,2024
210.00,0.83,59.22440782,1.70323463,28.17879582,4.796373500000000,-75.687792333000007,6.68572000,5.00,1509.70000000,15,56,2024
180.00,0.82,59.09588928,2.30833353,28.10259102,4.796262667000000,-75.687849666999991,7.96360000,5.00,1503.30000000,15,56,2024
210.00,0.85,59.00896250,1.30276664,27.87474512,4.796244833000001,-75.687872333000001,7.05612000,5.00,1502.10000000,15,56,2024
180.00,0.85,58.92741295,2.60160061,28.09470448,4.796236333000000,-75.687909000000006,8.35252000,5.00,1500.70000000,15,56,2024
210.00,0.85,59.17322025,1.74885085,28.11064073,4.796231333000000,-75.687931167000002,7.20428000,5.00,1500.70000000,15,56,2024
180.00,0.84,59.12333984,1.86208182,28.11123527,4.796231333000000,-75.687931167000002,7.20428000,5.00,1500.70000000,15,56,2024
180.00,0.88,59.10067233,1.94143562,28.10327077,4.796119000000000,-75.687977499999998,5.96344000,5.00,1498.20000000,15,56,2024
210.00,0.88,59.14732938,1.57770627,28.12063463,4.796114333000001,-75.687997999999989,6.88944000,5.00,1494.30000000,15,56,2024
210.00,0.67,59.38989846,1.05119346,28.17698819,4.796084833000000,-75.688029833000003,4.70408000,5.00,1495.00000000,15,56,2024
180.00,0.78,59.28681031,2.14842550,28.17086814,4.796067167000001,-75.688061500000003,7.01908000,5.00,1491.60000000,15,56,2024
210.00,0.86,58.90749346,2.37234699,28.13588859,4.796025000000001,-75.688082832999992,4.37072000,5.00,1491.60000000,15,56,2024
180.00,0.82,59.21240563,1.53535633,28.15469378,4.796023667000000,-75.688104499999990,1.62976000,5.00,1490.20000000,15,56,2024
210.00,0.83,58.87787419,2.99728085,28.14814441,4.796018333000001,-75.688128832999996,1.62976000,5.00,1489.70000000,15,56,2024
180.00,0.85,58.93871699,1.94072374,28.15791146,4.796021500000001,-75.688166832999996,2.22240000,4.00,1488.80000000,15,56,2024
180.00,0.80,59.29976318,1.34094301,28.15429900,4.796008167000000,-75.688188499999995,4.88928000,5.00,1491.20000000,15,56,2024
180.00,0.86,58.26433631,5.13581343,28.00259755,4.795993500000000,-75.688223500000004,1.92608000,5.00,1481.30000000,15,56,2024
180.00,0.85,58.49476952,2.86326576,27.98611430,4.795993000000001,-75.688244999999998,6.14864000,5.00,1476.50000000,15,56,2024
210.00,0.81,59.14823548,1.34205968,28.17193140,4.795993000000001,-75.688244999999998,6.14864000,5.00,1476.50000000,15,56,2024
210.00,0.50,59.38492231,0.87701989,28.21355179,4.795911167000000,-75.688334499999996,7.33392000,5.00,1476.20000000,15,56,2024
210.00,0.51,59.43701598,0.82649029,28.22315685,4.795895167000001,-75.688345333000004,6.68572000,5.00,1473.50000000,15,56,2024
240.00,0.42,59.46679866,0.82200963,28.23174252,4.795840167000000,-75.688394166999994,8.27844000,5.00,1477.90000000,15,56,2024
240.00,0.33,59.47507244,0.82975657,28.23082545,4.795837667000000,-75.688419499999994,7.40800000,5.00,1481.10000000,15,56,2024
240.00,0.30,59.51309920,0.82865385,28.22898479,4.795811333000000,-75.688489333000008,10.22304000,5.00,1481.10000000,15,57,2024
240.00,0.30,59.50601374,0.81544916,28.22750378,4.795800000000000,-75.688511500000004,9.07480000,5.00,1485.00000000,15,57,2024
270.00,0.30,59.49482853,0.82784426,28.23940024,4.795794000000000,-75.688538500000008,9.07480000,5.00,1484.10000000,15,57,2024
270.00,0.30,59.53021124,0.82273547,28.24097428,4.795800500000001,-75.688595500000008,10.33416000,5.00,1482.60000000,15,57,2024
240.00,0.34,59.53049347,0.84181667,28.23922205,4.795797167000000,-75.688634666999998,12.88992000,5.00,1480.00000000,15,57,2024
270.00,0.31,59.52083824,0.83051033,28.22687380,4.795736000000000,-75.688713332999997,14.77896000,5.00,1480.00000000,15,57,2024
240.00,0.31,59.54710046,0.83053824,28.21775546,4.795730667000000,-75.688742666999999,11.59352000,5.00,1471.00000000,15,57,2024
180.00,0.32,59.49519989,0.99632278,28.20097750,4.795730667000000,-75.688742666999999,11.59352000,5.00,1471.00000000,15,57,2024
210.00,0.77,59.30172393,1.78607805,28.16060959,4.795725167000000,-75.688820166999999,7.57468000,5.00,1469.50000000,15,57,2024
210.00,0.80,59.09817683,1.91547290,28.16218253,4.795727333000001,-75.688833833000002,7.57468000,5.00,1469.20000000,15,57,2024
210.00,0.86,59.00245636,2.11295708,28.14208324,4.795734000000001,-75.688862166999992,6.14864000,5.00,1466.60000000,15,57,2024
210.00,0.98,56.19008097,11.29880506,27.76629457,4.795730500000001,-75.688865832999994,4.57444000,5.00,1465.40000000,15,57,2024
210.00,0.99,56.16742831,10.69804724,27.76279399,4.795723667000000,-75.688891667000008,4.94484000,5.00,1465.40000000,15,57,2024
240.00,1.03,55.71461288,12.00239480,27.84698191,4.795725500000000,-75.688930999999994,7.70432000,5.00,1467.00000000,15,57,2024
240.00,1.00,56.12451453,10.10447802,27.76466913,4.795726333000001,-75.688954167000002,7.70432000,5.00,1472.50000000,15,57,2024
240.00,0.93,57.34355416,5.73826023,28.00440708,4.795709833000000,-75.688991500000000,6.27828000,5.00,1473.40000000,15,57,2024
240.00,0.90,58.43371875,1.97330276,28.12819977,4.795687500000000,-75.689006832999989,4.96336000,5.00,1471.40000000,15,57,2024
240.00,0.90,58.59118813,1.97666675,28.15352590,4.795693667000000,-75.689042999999998,4.96336000,5.00,1470.80000000,15,57,2024
270.00,0.87,58.81254542,1.49250388,28.14718072,4.795694500000000,-75.689077499999992,7.18576000,5.00,1470.40000000,15,57,2024
270.00,0.85,58.87647789,1.37999876,28.16351860,4.795687667000001,-75.689144499999994,9.94524000,5.00,1470.40000000,15,57,2024
300.00,0.83,58.92643257,1.31126734,28.17170097,4.795675833000000,-75.689151332999999,5.22264000,5.00,1471.70000000,15,57,2024
300.00,0.80,58.98700800,1.19859471,28.17466709,4.795683500000000,-75.689185832999994,5.22264000,5.00,1471.90000000,15,57,2024
300.00,0.32,59.14538348,0.82727197,28.23093101,4.795678500000001,-75.689263499999999,9.81560000,5.00,1469.60000000,15,57,2024
330.00,0.32,59.17369558,0.82621112,28.24054198,4.795683833000000,-75.689285667000003,8.42660000,5.00,1472.00000000,15,57,2024
360.00,0.32,59.19939335,0.82149317,28.24082908,4.795695000000001,-75.689358833000000,9.11184000,5.00,1472.00000000,15,57,2024
330.00,0.33,59.19401613,0.81706834,28.23690903,4.795660500000001,-75.689401500000004,10.74160000,5.00,1465.50000000,15,57,2024
330.00,0.30,59.22574470,0.80609700,28.23418379,4.795660500000001,-75.689401500000004,10.74160000,5.00,1465.50000000,15,57,2024
270.00,0.36,59.16062389,0.88693039,28.24988555,4.795673000000000,-75.689558833000010,12.09356000,5.00,1468.40000000,15,57,2024
240.00,0.78,58.17715701,6.07901396,28.16536815,4.795671333000000,-75.689578166999993,12.09356000,5.00,1469.40000000,15,57,2024
270.00,1.10,54.39919920,17.91074238,27.75299212,4.795678500000001,-75.689601999999993,4.57444000,5.00,1470.90000000,15,57,2024
330.00,1.09,54.26242173,17.22775532,27.79293484,4.795666167000001,-75.689621166999998,4.48184000,5.00,1471.00000000,15,57,2024
330.00,0.87,57.98048740,1.97300964,28.10140888,4.795647000000000,-75.689662832999999,6.13012000,5.00,1471.00000000,15,57,2024
270.00,1.00,54.60516754,15.86792291,27.87000310,4.795641500000001,-75.689676167000001,5.13004000,5.00,1471.00000000,15,57,2024
270.00,0.85,56.63330059,7.94717132,28.04072707,4.795648167000000,-75.689699500000005,5.13004000,5.00,1471.80000000,15,57,2024
240.00,0.85,57.07353451,7.70575989,28.01635029,4.795656167000000,-75.689740499999995,5.70416000,5.00,1473.60000000,15,57,2024
180.00,0.78,58.23862369,1.73492032,28.17423252,4.795664000000001,-75.689768500000003,6.79684000,5.00,1475.00000000,15,57,2024
210.00,0.81,58.25477021,1.89855525,28.14588160,4.795685500000001,-75.689803832999995,6.27828000,5.00,1477.40000000,15,57,2024
180.00,0.54,58.64665371,0.87212047,28.20649763,4.795691167000001,-75.689821332999995,6.01900000,5.00,1477.90000000,15,57,2024
180.00,0.42,58.75196999,0.82034857,28.23839383,4.795691167000001,-75.689821332999995,6.01900000,5.00,1477.90000000,15,57,2024
120.00,0.42,58.81786322,0.82552716,28.24573651,4.795691167000001,-75.689821332999995,6.01900000,5.00,1477.90000000,15,57,2024
120.00,0.56,58.75794138,2.19684737,28.21100682,4.795703333000000,-75.689883499999996,6.01900000,4.00,1479.00000000,15,57,2024
120.00,0.59,58.51610015,2.30305724,28.19286569,4.795696667000000,-75.689897166999999,3.38916000,4.00,1480.30000000,15,57,2024
90.00,0.66,58.58982154,1.71772350,28.13442232,4.795735333000000,-75.689939832999995,0.85192000,5.00,1474.00000000,15,57,2024
120.00,0.60,58.81340696,1.02490969,28.17946095,4.795758667000001,-75.690039166999998,2.25944000,5.00,1467.90000000,15,58,2024
120.00,0.34,58.93385967,0.83337181,28.24426452,4.795755333000000,-75.690057499999996,1.74088000,5.00,1468.50000000,15,58,2024
0.00,0.29,58.96380574,0.84050458,28.23571464,4.795755333000000,-75.690057499999996,1.74088000,5.00,1468.50000000,15,58,2024
0.00,0.29,58.97687743,0.83080346,28.24117557,4.795775333000000,-75.690126167000002,1.74088000,5.00,1481.70000000,15,58,2024
0.00,0.29,58.99199901,0.82506653,28.25016614,4.795783667000001,-75.690158332999999,1.74088000,5.00,1485.20000000,15,58,2024
0.00,0.29,59.01381983,0.83197597,28.23017230,4.795787833000001,-75.690197166999997,1.94460000,5.00,1494.40000000,15,58,2024
0.00,0.29,59.02568833,0.83219930,28.23477764,4.795784333000001,-75.690211666999998,1.85200000,5.00,1498.30000000,15,58,2024
0.00,0.30,59.03543269,0.83829914,28.22830860,4.795798833000000,-75.690259499999994,0.25928000,5.00,1498.30000000,15,58,2024
0.00,0.30,59.04398871,0.85777118,28.23960153,4.795803167000000,-75.690296999999997,3.66696000,5.00,1503.50000000,15,58,2024
0.00,0.29,59.04774682,0.84839111,28.25069101,4.795809333000001,-75.690320333000000,3.66696000,5.00,1505.60000000,15,58,2024
0.00,0.29,59.03302631,0.84082562,28.23941674,4.795789833000000,-75.690371499999997,1.37048000,5.00,1495.20000000,15,58,2024
0.00,0.30,59.05195056,0.84046270,28.22551493,4.795785000000001,-75.690416000000002,1.11120000,5.00,1495.40000000,15,58,2024
60.00,0.30,59.06175433,0.83337181,28.23566515,4.795767667000000,-75.690450333000001,0.59264000,5.00,1503.20000000,15,58,2024
0.00,0.30,59.07839103,0.83038470,28.22822614,4.795768667000000,-75.690450999999994,0.18520000,5.00,1505.20000000,15,58,2024
30.00,0.31,58.98751304,0.82404756,28.23519995,4.795772667000000,-75.690431667000002,0.77784000,5.00,1505.20000000,15,58,2024
0.00,0.30,59.03535842,0.81731959,28.24517873,4.795768500000001,-75.690417499999993,0.96304000,5.00,1489.60000000,15,58,2024
60.00,0.48,58.91689617,0.92365508,28.13065510,4.795768500000001,-75.690417499999993,0.96304000,5.00,1489.60000000,15,58,2024
90.00,0.69,57.44634523,5.48601704,27.77517939,4.795756167000001,-75.690415666999992,1.05564000,5.00,1483.50000000,15,58,2024
180.00,0.78,57.08189743,5.93298064,27.71956466,4.795748000000000,-75.690418333000000,1.05564000,4.00,1482.50000000,15,58,2024
180.00,0.76,58.42540040,2.31460088,28.04530807,4.795747833000000,-75.690424167000003,3.53732000,4.00,1480.80000000,15,58,2024
180.00,0.73,58.13990268,2.16927943,28.08324963,4.795740833000000,-75.690433166999993,4.05588000,5.00,1481.90000000,15,58,2024
210.00,0.45,58.85642472,0.82286110,28.18648859,4.795734000000001,-75.690467166999990,5.74120000,5.00,1481.90000000,15,58,2024
120.00,0.45,57.42467295,6.32494793,28.00681233,4.795727000000001,-75.690479167000006,5.48192000,5.00,1475.80000000,15,58,2024
120.00,0.69,58.65292218,1.26124024,28.04883444,4.795727000000001,-75.690479167000006,5.48192000,5.00,1475.80000000,15,58,2024
210.00,0.57,58.07626729,5.79625760,28.13832157,4.795726167000000,-75.690518999999998,4.74112000,5.00,1470.60000000,15,58,2024
150.00,0.63,58.76113503,0.98590978,28.17669845,4.795721333000001,-75.690523832999998,3.55584000,5.00,1471.50000000,15,58,2024
210.00,1.03,54.40479923,17.27533968,27.72544088,4.795707500000000,-75.690535166999994,2.90764000,5.00,1472.70000000,15,58,2024
270.00,0.93,56.90471653,13.17318789,28.08034892,4.795702000000001,-75.690549833000009,3.68548000,5.00,1471.30000000,15,58,2024
270.00,0.78,58.11722031,1.85433488,28.14816086,4.795701333000001,-75.690581667000005,4.44480000,5.00,1471.30000000,15,58,2024
240.00,0.98,57.30609187,5.43438472,27.95247792,4.795683500000000,-75.690575832999993,3.50028000,5.00,1473.60000000,15,58,2024
240.00,0.97,56.14734544,9.36952364,27.94521801,4.795658500000000,-75.690576332999999,3.50028000,5.00,1473.70000000,15,58,2024
270.00,0.97,58.32611493,0.82499674,28.09997069,4.795599167000000,-75.690586167000004,7.48208000,5.00,1474.70000000,15,58,2024
240.00,0.29,58.56216302,0.84741401,28.21660145,4.795573667000001,-75.690601333000007,7.48208000,5.00,1473.90000000,15,58,2024
270.00,0.33,58.63184407,0.80626450,28.22742792,4.795540500000000,-75.690656833000007,9.40816000,5.00,1476.00000000,15,58,2024
210.00,0.91,56.26644641,8.84966900,27.80223102,4.795540500000000,-75.690689666999997,9.27852000,5.00,1478.30000000,15,58,2024
210.00,0.99,56.86775928,9.22255509,27.90282294,4.795555333000001,-75.690716667000002,4.42628000,5.00,1478.30000000,15,58,2024
300.00,1.64,54.07776917,17.38880794,27.79800480,4.795547167000001,-75.690726832999999,4.03736000,5.00,1477.30000000,15,58,2024
180.00,1.64,53.96278280,17.52117594,27.72435560,4.795547167000001,-75.690726832999999,4.03736000,5.00,1477.30000000,15,58,2024
150.00,1.64,54.07069857,16.44121050,27.67681984,4.795552833000001,-75.690743166999991,3.14840000,5.00,1479.30000000,15,58,2024
120.00,1.41,53.79677227,17.10793597,27.67615687,4.795554500000000,-75.690738167000004,3.14840000,5.00,1478.20000000,15,58,2024
270.00,0.46,57.65143717,1.06607317,28.19602842,4.795558333000000,-75.690740000000005,3.24100000,5.00,1476.90000000,15,58,2024
240.00,0.54,57.74541969,1.04124108,28.17264246,4.795559000000000,-75.690736000000002,3.16692000,5.00,1477.30000000,15,58,2024
240.00,0.38,57.99370764,0.87214839,28.19030282,4.795578833000001,-75.690724000000004,4.14848000,5.00,1477.30000000,15,59,2024
270.00,0.39,58.14675046,0.87877866,28.17174377,4.795602167000001,-75.690721999999990,8.09324000,5.00,1478.00000000,15,59,2024
270.00,0.55,58.18658943,0.88694435,28.13419220,4.795602167000001,-75.690721999999990,8.09324000,5.00,1478.00000000,15,59,2024
300.00,0.64,58.25107151,0.95094385,28.14389850,4.795621167000001,-75.690667833000002,6.11160000,4.00,1481.10000000,15,59,2024
180.00,0.54,58.32828364,0.86683022,28.14893710,4.795610167000000,-75.690646499999996,6.11160000,4.00,1482.20000000,15,59,2024
210.00,0.69,58.31158752,0.80687867,27.98986871,4.795601833000000,-75.690626832999994,2.44464000,5.00,1483.00000000,15,59,2024
0.00,0.31,58.38213012,0.82187005,28.18073528,4.795601333000001,-75.690623833000003,2.20388000,5.00,1482.60000000,15,59,2024
0.00,0.31,58.44310661,0.80983786,28.17166476,4.795616000000000,-75.690638832999992,0.09260000,5.00,1482.60000000,15,59,2024
0.00,0.30,58.46578897,0.81705438,28.16863971,4.795618167000000,-75.690639666999999,0.24076000,5.00,1482.70000000,15,59,2024
0.00,0.30,58.50706879,0.80606908,28.16951526,4.795618167000000,-75.690639666999999,0.24076000,5.00,1482.70000000,15,59,2024
0.00,0.30,58.51595161,0.81190371,28.16234706,4.795626333000000,-75.690640833000006,0.38892000,5.00,1477.70000000,15,59,2024
0.00,0.30,58.52556227,0.81912023,28.15890842,4.795636833000000,-75.690647000000002,0.38892000,5.00,1477.10000000,15,59,2024
0.00,0.30,58.56097469,0.81166642,28.16363049,4.795658667000000,-75.690660167000007,0.07408000,5.00,1477.40000000,15,59,2024
0.00,0.30,58.58102786,0.81456978,28.15961915,4.795668000000000,-75.690666832999990,0.14816000,5.00,1477.60000000,15,59,2024
0.00,0.30,58.58138436,0.80937723,28.15721394,4.795690333000000,-75.690683832999994,0.07408000,5.00,1477.60000000,15,59,2024
0.00,0.30,58.58575149,0.81343914,28.14843386,4.795698667000000,-75.690691999999994,0.11112000,5.00,1480.10000000,15,59,2024
0.00,0.30,58.60965190,0.81593770,28.15298968,4.795698667000000,-75.690691999999994,0.11112000,5.00,1480.10000000,15,59,2024
0.00,0.30,58.60042744,0.80520365,28.16080045,4.795720167000000,-75.690713333000001,0.07408000,5.00,1481.90000000,15,59,2024
0.00,0.30,58.61799996,0.80457552,28.15989226,4.795723333000000,-75.690715667000008,0.07408000,5.00,1482.30000000,15,59,2024
0.00,0.32,57.51473396,8.35126851,28.13026065,4.795725833000000,-75.690714166999999,0.16668000,6.00,1485.40000000,15,59,2024
300.00,0.79,55.91936317,9.32037593,27.63868779,4.795726000000001,-75.690713499999997,0.09260000,6.00,1486.00000000,15,59,2024
150.00,0.84,56.18687246,7.47318416,27.68817038,4.795724500000001,-75.690723000000001,1.83348000,6.00,1486.00000000,15,59,2024
240.00,0.85,57.36234472,3.78275087,27.97767853,4.795729500000001,-75.690724333000005,1.44456000,6.00,1485.20000000,15,59,2024
240.00,0.95,56.89072387,5.69223921,27.96589559,4.795729500000001,-75.690724333000005,1.44456000,6.00,1485.20000000,15,59,2024
270.00,1.00,57.74671200,2.77605335,28.05761952,4.795783833000000,-75.690698499999999,10.22304000,6.00,1482.00000000,15,59,2024
300.00,1.19,55.99807558,9.73134068,27.82714335,4.795808833000000,-75.690696500000003,10.22304000,6.00,1480.90000000,15,59,2024
360.00,0.29,58.28379531,0.85151780,28.17554283,4.795883833000000,-75.690687499999995,13.87148000,6.00,1479.20000000,15,59,2024
360.00,0.29,58.36074007,0.86230768,28.17492388,4.795923500000000,-75.690691000000001,13.61220000,6.00,1479.00000000,15,59,2024
360.00,0.29,58.42002318,0.86133059,28.17391977,4.795985333000000,-75.690652332999999,13.31588000,6.00,1479.00000000,15,59,2024
330.00,0.29,58.46210513,0.86437353,28.17565806,4.796026167000000,-75.690643667000001,13.05660000,6.00,1480.80000000,15,59,2024
270.00,0.29,58.47875669,0.86476437,28.17612887,4.796026167000000,-75.690643667000001,13.05660000,6.00,1480.80000000,15,59,2024
210.00,0.61,58.37730250,1.43083544,28.14502322,4.796230167000000,-75.690691499999998,11.66760000,6.00,1494.10000000,15,59,2024
270.00,1.38,54.11205266,16.99650564,27.82174298,4.796278667000001,-75.690704167000006,11.66760000,6.00,1494.30000000,15,59,2024
330.00,1.63,53.93620864,17.04501126,27.81657767,4.796353000000000,-75.690659167000005,13.77888000,6.00,1497.60000000,15,59,2024
420.00,1.50,55.67900736,8.69471623,27.98535236,4.796399167000000,-75.690637167000005,15.89016000,6.00,1499.50000000,15,59,2024
390.00,1.48,56.77937679,4.85164726,28.05750149,4.796479833000001,-75.690545666999993,21.16836000,6.00,1499.50000000,15,59,2024
240.00,0.30,57.96570747,0.87982554,28.15493724,4.796515833000000,-75.690478999999992,24.52048000,6.00,1502.00000000,15,59,2024
240.00,0.30,58.10590141,0.87964408,28.14682222,4.796515833000000,-75.690478999999992,24.52048000,6.00,1502.00000000,15,59,2024
300.00,0.30,58.17313152,0.88376182,28.15189753,4.796639500000000,-75.690327667000003,23.89080000,6.00,1501.60000000,15,59,2024
270.00,0.30,58.23084009,0.86449916,28.14363870,4.796670833000001,-75.690279833000007,23.89080000,6.00,1500.70000000,15,59,2024
270.00,0.30,58.25820153,0.86282414,28.15096003,4.796767333000000,-75.690160000000004,29.96536000,6.00,1496.40000000,15,59,2024
300.00,0.30,58.30487342,0.87569384,28.14546721,4.796824333000000,-75.690111333000000,29.46532000,6.00,1497.50000000,15,59,2024
300.00,0.30,58.33470066,0.86208435,28.14042265,4.796950167000001,-75.690031000000006,30.11352000,6.00,1497.50000000,16,0,2024
300.00,0.32,58.35454587,0.87889032,28.12687523,4.797025333000000,-75.690017833000000,28.42820000,6.00,1497.70000000,16,0,2024
330.00,0.30,58.37014278,0.86794690,28.15218372,4.797025333000000,-75.690017833000000,28.42820000,6.00,1497.70000000,16,0,2024
330.00,0.31,58.39685063,0.86660689,28.14773986,4.797221333000000,-75.689853500000001,35.35468000,5.00,1494.90000000,16,0,2024
330.00,0.31,58.41547780,0.86236352,28.14660186,4.797313000000000,-75.689818167000000,35.35468000,6.00,1494.80000000,16,0,2024
360.00,0.32,58.42274150,0.86348019,28.15223307,4.797507667000000,-75.689779166999997,33.85456000,6.00,1495.40000000,16,0,2024
330.00,0.33,58.43324342,0.87450737,28.14861476,4.797595333000001,-75.689751000000002,34.50276000,6.00,1494.90000000,16,0,2024
300.00,0.32,58.45586637,0.87348840,28.15718433,4.797761000000001,-75.689723500000001,30.87284000,6.00,1494.90000000,16,0,2024
300.00,0.31,58.45383134,0.85798056,28.15652301,4.797826833000001,-75.689687167000005,29.78016000,6.00,1494.80000000,16,0,2024
270.00,0.30,58.45463347,0.87143651,28.16431172,4.797826833000001,-75.689687167000005,29.78016000,6.00,1494.80000000,16,0,2024
270.00,0.30,58.46116932,0.86190289,28.16400566,4.798118333000000,-75.689600666999989,27.59480000,5.00,1495.40000000,16,0,2024
240.00,0.30,58.45580695,0.85923682,28.16553600,4.798118333000000,-75.689600666999989,27.59480000,6.00,1495.90000000,16,0,2024
