Velocidad [RPM];Voltaje[V];Corriente[A];Temperatura[°C];Latitud;Longitud;Velocidad[GPS: km/h];Satelites; Altitud; Hora; Minutos; Year
0;47.60491783;0.03648936;29.21132786;4.796241;-75.68773033;1.05564;7;1492.1;17;25;2024
0;47.60079876;0.03884555;29.08543377;4.796243;-75.68772917;0.12964;7;1492.7;17;25;2024
0;47.59683417;0.03015641;29.0831296;4.796244;-75.68772883;0.5556;7;1492.7;17;25;2024
0;47.59902814;0.03329846;29.18849142;4.796247;-75.68772783;0.5556;7;1493;17;25;2024
0;47.595273;0.03288668;29.03558516;4.796248;-75.6877275;0.3704;7;1493.6;17;25;2024
0;46.4258969;6.10667822;28.98736964;4.796257;-75.687725;1.27788;7;1493.9;17;25;2024
60;46.46405585;2.60287362;42.53723047;4.796271;-75.687734;4.11144;8;1495.9;17;25;2024
120;46.36911523;7.20454956;35.88553095;4.796273;-75.68778867;8.07472;8;1497.2;17;25;2024
240;46.72449157;5.33621214;34.33493497;4.796259;-75.68783767;8.25992;8;1495.4;17;25;2024
240;46.48640103;5.46218159;35.3738407;4.796254;-75.687864;9.70448;8;1495.4;17;25;2024
240;46.36064685;6.36317036;34.1921769;4.796248;-75.68790117;7.20428;8;1496.3;17;25;2024
300;46.88978614;3.50962584;36.07546411;4.796232;-75.68794317;8.16732;7;1496.7;17;25;2024
300;46.76152458;0.73616794;36.75600803;4.796228;-75.68796517;8.22288;7;1496.7;17;25;2024
300;47.28687752;4.40746559;20.58721533;4.796199;-75.68800783;8.4266;7;1497.2;17;25;2024
240;46.90770921;7.73025558;33.909894;4.796177;-75.68802817;8.37104;7;1496.3;17;26;2024
240;46.21837035;5.01573445;28.02042668;4.796151;-75.68806783;8.03768;7;1495.5;17;26;2024
300;46.23314731;5.48557595;36.1566481;4.796116;-75.6881195;8.46364;7;1494.1;17;26;2024
300;46.46986682;9.09221107;33.10788348;4.796107;-75.68814133;7.14872;7;1494.1;17;26;2024
300;45.16086272;11.57578821;29.66208351;4.796058;-75.68818383;7.70432;7;1492.9;17;26;2024
240;44.71287639;15.51217082;26.93811269;4.795992;-75.68821417;9.68596;8;1488.5;17;26;2024
240;46.1985504;2.94831879;27.36398665;4.795972;-75.68823417;7.7784;8;1488.5;17;26;2024
300;44.74460347;8.09888434;28.71410323;4.795913;-75.68829583;10.33416;8;1486.4;17;26;2024
300;45.6761772;5.1975419;33.05854084;4.795884;-75.68831783;7.94508;8;1483.4;17;26;2024
240;45.93477842;11.90789747;24.19703141;4.795869;-75.68833583;1.96312;8;1481.7;17;26;2024
240;47.20189516;0.33851118;33.1688676;4.795863;-75.68837167;3.81512;8;1481.6;17;26;2024
