Velocidad [RPM];Voltaje[V];Corriente[A];Temperatura[°C];lat;lon;Velocidad[GPS: km/h];Satelites; Altitud; Hora; Minutos; Year
0;53.23491809;11.8160048;29.86598044;4.79621;-75.68775117;0.66672;8;1490.3;19;46;2024
60;53.42632634;0.00231069;40.20546819;4.796215333;-75.68775433;2.1298;8;1490.3;19;46;2024
60;51.92395621;9.73985254;33.62357037;4.796218;-75.68776333;4.94484;8;1489.5;19;46;2024
120;53.39550833;0.12451136;35.24913513;4.796213833;-75.687779;6.61164;8;1489.5;19;46;2024
180;53.29397839;0.2885818;34.28105482;4.796208167;-75.68779583;6.00048;8;1486.7;19;46;2024
120;53.41956025;0.34483576;32.03533234;4.796185333;-75.68783267;4.85224;8;1486.7;19;46;2024
120;51.85406869;5.13834829;38.66854067;4.7961775;-75.68784017;1.44456;8;1484.5;19;46;2024
180;52.61553212;1.52121502;35.64617246;4.7961575;-75.68786767;6.7598;8;1484.5;19;46;2024
120;52.47871454;3.07029752;37.72325129;4.7961495;-75.68788317;6.03752;8;1482.4;19;46;2024
180;51.85012638;3.4876692;39.12272531;4.7961335;-75.68792083;7.29688;8;1482.4;19;46;2024
180;51.33401275;4.76278915;38.63500597;4.796125;-75.68792983;4.50036;8;1479.5;19;46;2024
240;52.26476504;4.03013094;37.29687141;4.796110333;-75.68798;10.50084;8;1479.5;19;46;2024
240;52.68728087;2.30459965;36.70512888;4.796105;-75.68800383;8.38956;8;1479.9;19;46;2024
240;52.22251524;4.25649097;36.09742454;4.796095167;-75.68804;4.31516;8;1479.9;19;46;2024
240;52.89145631;2.21144931;36.3198745;4.796078833;-75.6880685;12.00096;7;1482.1;19;46;2024
240;52.5654898;3.25182719;37.34818296;4.796063667;-75.68812783;11.46388;7;1482.1;19;46;2024
240;52.33675592;4.35833602;37.85447177;4.796051167;-75.68814667;6.77832;8;1481.2;19;46;2024
240;51.92965131;2.4749151;37.10080615;4.796031667;-75.68818033;4.55592;8;1481.2;19;46;2024
240;52.4344312;3.15901046;35.14488086;4.7960195;-75.68819917;6.59312;8;1483.1;19;46;2024
240;51.38321729;5.54403674;36.81932952;4.795972333;-75.68823483;6.64868;8;1483.1;19;46;2024
300;49.76943175;15.86179096;39.28630869;4.795936;-75.68824817;6.8524;8;1474.7;19;46;2024
240;50.91179994;9.88116651;39.41181716;4.795862167;-75.6882775;9.31556;8;1474.7;19;46;2024
240;50.86103571;8.93835403;38.62164429;4.795838333;-75.6882905;6.63016;8;1472.8;19;46;2024
300;50.78150929;9.81923147;38.98342917;4.795801833;-75.68833767;7.42652;8;1472.8;19;46;2024
240;50.72968002;9.29639391;38.8458009;4.795790833;-75.68834667;3.87068;8;1471.1;19;46;2024
240;52.50864426;1.10433887;37.81920814;4.795778167;-75.688359;2.74096;8;1471.1;19;46;2024
240;52.64191169;1.51872762;36.78870714;4.795780833;-75.68837967;6.72276;8;1471.9;19;46;2024
180;51.84192835;0.15347934;38.50305812;4.7957905;-75.68841767;6.16716;8;1471.9;19;46;2024
180;52.43777191;4.72688104;40.17207599;4.795790167;-75.68843283;1.90756;7;1476;19;47;2024
120;52.167473;2.84836371;39.29054826;4.7957945;-75.688424;5.14856;7;1476;19;47;2024
180;52.2504545;2.74447095;37.77890394;4.795792333;-75.68842267;1.77792;6;1481.2;19;47;2024
180;52.93772863;0.02309762;37.31721965;4.795777667;-75.6884145;3.5188;6;1481.2;19;47;2024
180;52.9717596;0.0259619;30.59509952;4.795770333;-75.68841583;3.09284;8;1483.5;19;47;2024
180;53.00048762;0.05724279;29.81772351;4.7957515;-75.68841167;3.16692;8;1483.5;19;47;2024
240;53.01750905;0.02657328;32.79546247;4.7957355;-75.68840483;2.98172;8;1485.7;19;47;2024
180;53.04149858;0.02638065;32.40287467;4.795723167;-75.68839833;10.186;8;1485.7;19;47;2024
240;53.06309659;0.03048304;32.04850636;4.795732167;-75.6883785;10.50084;8;1490.6;19;47;2024
300;53.08511497;0.01821775;32.5152335;4.7957525;-75.688375;9.20444;8;1491.8;19;47;2024
180;53.01129554;3.08698485;32.20405351;4.795768167;-75.68837383;8.07472;8;1491.1;19;47;2024
180;51.77702738;3.13934579;38.70993061;4.795784167;-75.6884045;4.09292;8;1488.8;19;47;2024
180;52.52993776;1.41302585;38.01488891;4.795784167;-75.68842033;4.24108;8;1488.5;19;47;2024
240;52.54952599;1.35082001;37.56511238;4.795775833;-75.68844033;2.38908;8;1487.3;19;47;2024
240;52.61552617;0.87036869;37.40289476;4.7957725;-75.68845567;7.55616;8;1486.6;19;47;2024
240;52.93554803;0.0502831;35.71037021;4.7957425;-75.6885035;8.2414;8;1485.3;19;47;2024
