Velocidad [RPM];Aceleracion [V_Acc]; Voltaje[V];Corriente[A];Temperatura[°C];Latitud;Longitud;Velocidad[GPS: km/h];Satelites; Altitud; Hora; Minutos; Year
0;0.29;42.90883677;0.86925899;28.18450592;0;0;0;0;0;0;0;0
0;0.28;42.90048871;0.86542042;28.20648445;0;0;0;0;0;0;0;0
0;0.29;42.89944892;0.85771535;28.2070975;0;0;0;0;0;0;0;0
0;0.29;42.89583934;0.86378728;28.21823686;0;0;0;0;0;0;0;0
0;0.28;43.41340424;0.84696734;54.21321286;0;0;0;0;0;0;0;0
0;0.28;43.44283041;0.8491309;48.66382368;0;0;0;0;0;0;0;0
0;0.28;43.46294299;0.86313123;53.73018856;0;0;0;0;0;0;0;0
0;0.28;43.47438073;0.86434562;58.22112536;0;0;0;0;0;0;0;0
0;0.28;43.50636182;0.85657076;59.60224544;0;0;0;0;0;0;0;0
0;0.28;43.52730624;0.86247518;60.97430554;0;0;0;0;0;0;0;0
0;0.28;43.52429084;0.87951845;64.8222196;0;0;0;0;0;0;0;0
0;0.28;43.55961413;0.87283235;74.63073171;0;0;0;0;0;0;0;0
0;0.28;43.5733097;0.86776544;68.71558382;0;0;0;0;0;0;0;0
0;0.28;43.56938819;0.86036746;75.49887987;0;0;0;0;0;0;0;0
0;0.28;43.60233481;0.86255893;76.57518921;0;0;0;0;0;0;0;0
0;0.28;43.63914351;0.84984278;75.50986409;0;0;0;0;0;0;0;0
0;0.28;43.6139805;0.85506325;79.12219339;0;0;0;0;0;0;0;0
0;0.28;43.63070633;0.86445728;82.00880128;0;0;0;0;0;0;0;0
0;0.28;43.63330581;0.85704535;81.35334187;0;0;0;0;0;0;0;0
0;0.28;43.64272338;0.86540646;83.69032566;0;0;0;0;0;0;0;0
0;0.28;43.67167421;0.87756427;84.25101809;0;0;0;0;0;0;0;0
0;0.28;43.68416659;0.85934849;85.55067702;0;0;0;0;0;0;0;0
0;0.28;43.67504611;0.85329052;87.91671603;0;0;0;0;0;0;0;0
0;0.28;43.68642443;0.86724897;88.07003104;0;0;0;0;0;0;0;0
0;0.28;43.71090415;0.86084204;89.76375541;0;0;0;0;0;0;0;0
0;0.28;43.73701784;0.85465845;89.39515891;0;0;0;0;0;0;0;0
0;0.28;43.7704695;0.86678835;89.93287988;0;0;0;0;0;0;0;0
0;0.28;43.7536991;0.85281593;91.57020316;0;0;0;0;0;0;0;0
0;0.28;43.7692366;0.85174113;92.5049072;0;0;0;0;0;0;0;0
0;0.28;43.80880819;0.89187168;93.01709702;0;0;0;0;0;0;0;0
0;0.28;43.77924833;0.86884024;93.11342474;0;0;0;0;0;0;0;0
0;0.28;43.79668716;0.85714305;93.44384551;0;0;0;0;0;0;0;0
0;0.28;43.8228157;0.85192259;93.86085963;0;0;0;0;0;0;0;0
